Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Incubator,Calcium hypochlorite 15% 30 min,,Petri,,Filter paper,"Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96."
Incubator,1% (v/w) sodium hypochlorite for 20 min,,Bag,,Vermiculite,"Javanmard, T. Z., Z.; Keshavarz Afshar, R.; Hashemi, M.; Struik, P. C. (2014). ""Seed washing, exogenous application of gibberellic acid, and cold stratification enhance the germination of sweet cherry (Prunus aviumL.) seed."" The Journal of Horticultural Science and Biotechnology 89(1): 74-78."
Incubator,2% (v/w) sodium hypochlorite for 10 min,,Box,10 x 10 x 6  cm,Filter paper,"Jensen, M. (2010). ""Temperature Relations of Germination in Acer platanoides L. Seeds."" Scandinavian Journal of Forest Research 16(5): 404-414."
Incubator,,,,,Filter paper,"Joseph, H. C. (1929). ""Germination and Vitality of Birch Seeds."" Botanical Gazette 87(1): 127-151."
Incubator,,,Petri,,Filter paper,"Julin-Tegelman, Å. P., Neville (1983). ""Changes in the Levels of Endogenous Cytokinin-like Substances During Cold-induced Germination of Acer platanoides L. Seeds."" Zeitschrift Fur Pflanzenphysiologie 110(1): 89-95."
Incubator,,,,,Filter paper,"Junttila, O. (1972). ""EFFECT OF GIBBERELLIC-ACID ON DARK AND LIGHT GERMINATION AT DIFFERENT TEMPERATURES OF CALLUNA, LEDUM AND RHODODENDRON SEEDS."" Physiologia Plantarum 26(2): 239-&."
Incubator,,,Petri,9 cm,Filter paper,"Junttila, O. (1976). ""Effects of Red and Far-red Irradiation on Seed Germination in Betula verrucosa and B. pubescens."" Zeitschrift Fur Pflanzenphysiologie 80(5): 426-435."
Incubator,,,Box,,Filter paper,"Kabouw, P., et al. (2010). ""Activated carbon addition affects substrate pH and germination of six plant species."" Soil Biology and Biochemistry 42(7): 1165-1167."
Incubator,,,Petri,,Filter paper,"Kalemba, E. M. and E. Ratajczak (2018). ""The effect of a doubled glutathione level on parameters affecting the germinability of recalcitrant Acer saccharinum seeds during drying."" J Plant Physiol 223: 72-83."
Room,,,Tray,51 x 33 x 8 cm,Sand and peat 1:1,"Kaliniewicz, Z. and P. Tylek (2018). ""Influence of Scarification on the Germination Capacity of Acorns Harvested from Uneven-Aged Stands of Pedunculate Oak (Quercus robur L.)."" Forests 9(3)."
Room,,,Jar,,Filter paper,"Kaliniewicz, Z., et al. (2013). ""Correlations between the Germination Capacity and Selected Physical Properties of Scots Pine (Pinus sylvestris L.) Seeds."" Baltic Forestry 19(2): 201-211."
Room,,,Jar,,Filter paper,"Kaliniewicz, Z., et al. (2018). ""Correlations between Germination Capacity and Selected Properties of Black Alder (Alnus glutinosa Gaertn.) Achenes."" Baltic Forestry 24(1): 68-76."
Incubator,,,Petri,9 cm,Filter paper,"Kang, H., et al. (2012). ""A Study on Characteristics of Seed Germination of Native Plants for Revegetation on the Slope of River bank."" Journal of the Korea Society of Environmental Restoration Technology 15(2): 103-115."
Incubator,,,Petri,9 cm,Filter paper,"Kang, H.-K. Y., Ja-Yeon; Cho, Yong-Hyeon; Song, Hong-Seon (2016). ""Germination Characteristics by Temperature and Production Time to Poaceae Plant Seed."" Journal of the Korea Society of Environmental Restoration Technology 19(2): 71-81."
Incubator,,,Petri,9 cm,Filter paper,"Kang, H.-K., et al. (2014). ""Germination Characteristics and Maturity by Production Time of Chamaecrista nomame, Lespedeza cuneata and Lespedeza bicolor Seed in Fabaceae Plant."" Korean Journal of Plant Resources 27(4): 359-364."
Incubator,"Ethanol, sodium hypochlorite",,Petri,,,"Kang, S.-Y., et al. (2005). ""Seed Germination and Seedling Growth of Rhododendron Species by Gamma Rays Irradiation."" Flower Research Journal 13(2): 116-120."
Incubator,,,Petri,5 cm,Filter paper,"Karlin, E. F. B., L. C. (1983). ""Germination Ecology of Ledum groenlandicum and Ledum palustre ssp. decumbens."" Arctic and Alpine Research 15(3): 397-404."
Incubator,,,Petri,9 cm,Sand,"Kashiwagi, Y. (1991). ""Successional development from stands ofMiscanthus sinensis to stands ofPinus densiflora and elements of microclimates: The seed germination and seedling establishment conditions ofP. densiflora."" Theoretical and Applied Climatology 43(3): 149-158."
Incubator,,,Petri,,Filter paper,"Kemball, K. J., et al. (2010). ""Laboratory assessment of the effect of forest floor ash on conifer germination."" Canadian Journal of Forest Research 40(4): 822-826."
Incubator,,,Petri,,Sand,"Kettenring, K. M. and D. F. Whigham (2009). ""Seed viability and seed dormancy of non-native Phragmites australis in suburbanized and forested watersheds of the Chesapeake Bay, USA."" Aquatic Botany 91(3): 199-204."
Incubator,,,Petri,9 cm,,"Kim, D. H. and S. H. Han (2018). ""Direct Effects on Seed Germination of 17 Tree Species under Elevated Temperature and CO2 Conditions."" Open Life Sciences 13(1): 137-148."
Incubator,,,Petri,,Filter paper,"Kim, D. H. H., Sim Hee (2018). ""Seed coat and aging conditions affect germination and physiological changes of aging Korean pine seeds."" Journal of Forest Research 23(6): 372-379."
Incubator,,,Petri,9 cm,Filter paper,"Kim, D. H., et al. (2009). ""Effects of Cryoprotectants and Post-storage Priming on Seed Germination of Sugi (Cryptomeria japonica."" Silvae Genetica 58(1-6): 162-168."
Incubator,,,Petri,9 cm,Filter paper,"Kim, J. J., et al. (2014). ""Effects of Temperature and Shading on Germination and Early Growth in Pimpinella brachycarpa."" Protected Horticulture and Plant Factory 23(4): 342-348."
Incubator,ethanol 70% 30 s,,Petri,9 cm,Filter paper,"Kim, J. S., et al. (2015). ""Effect of Environmental Factors on Sprout Germination, Growth, and Storage of Six Aster Species."" Korean Journal of Horticultural Science and Technology 33(5): 638-646."
Incubator,,,Petri,15 cm,,"Kim, r., et al. (2006). ""Vegetation Distribution Near Abandoned Metalliferous Mines and Seed Germination Properties of Woody Plants by the Contaminated Soils."" The Korean Society of Environmental Agriculture 25(1): 47-57."
Greenhouse,,,,,Soil,"Kirdar, E. E., M. (2008). ""The role of polystimulin hormone application and stratification temperature to break the dormancy and improve seed germination for Abies nordmanniana (Stev.) Spach."" Seed Science and Technology 36(2): 301-310."
Incubator,,,Petri,9 cm,Filter paper,"Kolodziejek, J. (2017). ""Effect of seed position and soil nutrients on seed mass, germination and seedling growth in Peucedanum oreoselinum (Apiaceae)."" Sci Rep 7(1): 1959."
Incubator,,,Petri,9 cm,Filter paper,"Kolodziejek, J., et al. (2017). ""Effect of light, gibberellic acid and nitrogen source on germination of eight taxa from dissapearing European temperate forest, Potentillo albae-Quercetum."" Sci Rep 7(1): 13924."
Incubator,,,Petri,9 cm,Filter paper,"Kondo, T., et al. (2015). ""Morphophysiological dormancy in seeds of Convallaria keiskei and a proposal to recognize two types of double dormancy in seed dormancy classification."" Seed Science Research 25(02): 210-220."
Incubator,,,Petri,,Filter paper,"Kosi?ski, I. (2007). ""Long-term variability in seed size and seedling establishment of Maianthemum bifolium."" Plant Ecology 194(2): 149-156."
Room,,,Petri,,Filter paper,"KÖVendi-JakÓ, A. (2017). ""Relationship of Germination and Establishment for Twelve Plant Species in Restored Dry Grassland."" Applied Ecology and Environmental Research 15(4): 227-239."
Incubator,,,Petri,20 cm,Filter paper,"Krauss, N. K., Karl-Hermann (1985). ""Ein Beitrag zur Kenntnis über die Stratifikation und Keimung von Eschensamen (Fraxinus excelsior L.)."" Flora 177(1-2): 91-105."
Incubator,,,,,,"Krawiarz, K. and Z. Szczotka (2005). ""Adenine nucleotides and energy charge during dormancy breaking in embryo axes of Acer platanoides and Fagus sylvatica seeds."" Acta Physiologiae Plantarum 27(4): 455-461."
Incubator,sodium hypochlorite (1% solution) for 10 min,,Box,6.5 × 9 × 3.5 cm,Filter paper,"Kuneš, I., et al. (2017). ""Effects of brassinosteroid application on seed germination of Norway spruce, Scots pine, Douglas fir and English oak."" iForest - Biogeosciences and Forestry 10(1): 121-127."
Incubator,,,Box,,Vermiculite,"Lamond, M. (1978). ""Péricarpe et cinétique de germination des glands de chêne pédonculé."" Annales Des Sciences Forestieres 35(3): 203-212."
Incubator,,,Petri,9 cm,Filter paper,"Landgraff, A. J., Olavi (1979). ""Germination and Dormancy of Reed Canary-Grass Seeds (Phalaris arundinacea)."" Physiologia Plantarum 45(1): 96-102."
Incubator,,,Box,60 x 40 x 12 cm,Peat and perlite 1:1,"Le Pichon, C. G., M. (2001). ""Evaluating the germination capacity of commercial seedlots of Quercus petraea."" Seed Science and Technology 29(2): 377-385."
Incubator,,,Box,12 x 12 x 3 cm,Filter paper,"Leadem, C. L. (1986). ""Stratification of Abiesamabilis seeds."" Canadian Journal of Forest Research 16(4): 755-760."
Incubator,,,Box,9 cm,Filter paper,"Leck, M. A. (1996). ""Germination of Macrophytes from a Delaware River Tidal Freshwater Wetland."" Bulletin of the Torrey Botanical Club 123(1): 48-67."
Incubator,,,Petri,,Filter paper,"Lee, B. D., et al. (2015). ""The Impact of Environmental and Host Specificity in Seed Germination and Survival of Korean Mistletoe [Viscum album var. coloratum (Kom.) Ohwi]."" Korean Journal of Plant Resources 28(6): 710-717."
Incubator,,,Petri,9 cm,Filter paper,"Lee, I.-J. (2013). ""Influence of Plant Growth Regulator Application on Seed Germination of Dandelion (Taraxacum officinale)."" Weed & Turfgrass Science 2(2): 152-158."
Incubator,,,Petri,,Filter paper,"Lee, J. H., et al. (2014). ""Effect of Temperature, Light Intensity, Covering Depth, Watering Frequency or GA3 on the Germination of Rhododendron brachycarpum Native to Korea."" Flower Research Journal 22(2): 68-73."
Incubator,0.5% Benomyl for 30 min,,Petri,,,"Lee, K. Y., et al. (2013). ""Botanical and germinating characteristics of Miscanthus species native to Korea."" Horticulture, Environment, and Biotechnology 53(6): 490-496."
Incubator,,,Petri,5.5 cm,Filter paper,"Lee, S. Y., et al. (2008). ""Characteristics of Seed Germination and Seedling Growth ofNative Hydrangea serrata for. Acuminata."" Flower Research Journal 16(2): 134-142."
Incubator,,,Petri,5 cm,Filter paper,"Leinonen, K. (1998). ""Effects of storage conditions on dormancy and vigor of Picea abies seeds."" New Forests 16(3): 231-249."
Incubator,,,Petri,5 cm,Filter paper,"Leinonen, K. D. C., Michelle (1998). ""Regulation of Picea abies seed dormancy by red and far?red light at various moisture contents."" Scandinavian Journal of Forest Research 13(1-4): 43-49."
Incubator,,,Tray,20 x 15 cm,Filter paper,"Leiva, M. J., et al. (2018). ""The effect of simulated damage by weevils on Quercus ilex subsp. Ballota acorns germination, seedling growth and tolerance to experimentally induced drought."" Forest Ecology and Management 409: 740-748."
Incubator,,,Bag,,Filter paper,"León-Lobos, P. and R. H. Ellis (2002). ""Seed storage behaviour of Fagus sylvatica and Fagus crenata."" Seed Science Research 12(1): 31-37."
Incubator,,,Bag,,Filter paper,"León-Lobos, P. and R. H. Ellis (2018). ""Comparison of seed desiccation sensitivity amongst Castanea sativa, Quercus ilex and Q. cerris."" Seed Science and Technology 46(2): 233-237."
Incubator,,,Petri,,Filter paper,"Letchamo, W. G., A. (1996). ""Light, temperature and duration of storage govern the germination and emergence ofTaraxacum officinaleseed."" Journal of Horticultural Science 71(3): 373-377."
Incubator,50% Clorox solution,,Petri,10 cm,Agar,"Li, H. Z., Donglin (2018). ""In Vitro Seed Germination of Kalmia latifolia L. Hybrids: A Means for Improving Germination and Speeding Up Breeding Cycle."" Hortscience 53(4): 535-540."
Incubator,Surfaze sterilized,,Tray,,Vermiculite,"Li, L. I. R., James D. (1990). ""Lipid Mobilization During Dormancy Breakage in Oilseed of Corylus avellana."" Annals of Botany 66(5): 501-505."
Incubator,,,,,Cotton wool,"Li, S., et al. (2013). ""Methods for breaking the dormancy of eastern redbud (Cercis canadensis) seeds."" Seed Science and Technology 41(1): 27-35."
Incubator,,,Box,12 x 12 x 3 cm,Filter paper,"Li, X. J. B., P. J.; Leadem, C. L. (1994). ""Interactive effects of light and stratification on the germination of some British Columbia conifers."" Canadian Journal of Botany 72(11): 1635-1646."
Incubator,1% sodium hypochlorite solution,,Petri,9 cm,Perlite,"Li, Y. L. C., H. Y.; Song, S. Q. (2009). ""Effects of temperature, after-ripening, stratification, and scarification plus hormone treatments on dormancy release and germination of Acer truncatum seeds."" Seed Science and Technology 37(3): 554-562."
Incubator,,,Petri,9 cm,Filter paper,"Lim, H.-I. K., Gil-Nam; Jang, Kyung-Hwan; Park, Wan-Geun (2015). ""Effect of Wet Cold and Gibberellin Treatments on Germination of Dwarf Stone Pine Seeds."" Korean Journal of Plant Resources 28(2): 253-258."
Incubator,,,Petri,,Filter paper,"Lindig-Cisneros, R. and J. Zedler (2001). ""Effect of light on seed germination in Phalaris arundinacea L. (reed canary grass)."" Plant Ecology 155(1): 75-78."
Incubator,,,Petri,10 cm,Filter paper,"Liopa-Tsakalidi, A., et al. (2011). ""Effect of NaCl and GA(3) on seed germination and seedling growth of eleven medicinal and aromatic crops."" Journal of Medicinal Plants Research 5(17): 4065-4073."
Incubator,,,Petri,9 cm,Filter paper,"Lisci, M. (1994). ""Germination ecology of drupelets of the fig (Ficus carica L.)."" Botanical Journal of the Linnean Society 114(2): 133-146."
Incubator,,,Petri,8 cm,Filter paper,"Liu, C. H. C., J. J.; Martin, S. B.; Turner, A. V. (2001). ""Rough bluegrass germination varies with temperature and cultivar/seed lot."" Hortscience 36(1): 153-156."
Incubator,,,,,Cotton wool,"Liu, H., et al. (2015). ""Causes and Breaking of Seed Dormancy in Flowering Dogwood (Cornus florida L.)."" Hortscience 50(7): 1041-1044."
Incubator,,,Petri,9 cm,Filter paper,"Liu, K., et al. (2018). ""Linking seed germination and plant height: a case study of a wetland community on the eastern Tibet Plateau."" Plant Biol (Stuttg) 20(5): 886-893."
Incubator,,,Petri,9 xm,Filter paper,"Liu, M. H., Andrew; Mallory-Smith, Carol (2017). ""Waterlogging Influence on Roughstalk Bluegrass (Poa trivialis) and Tall Fescue Germination."" Weed Technology 31(05): 732-739."
Incubator,,,Box,4.5 x 4.5 x 1.5 cm,Filter paper,"Liu, Y. and Y. A. El-Kassaby (2014). ""Timing of seed germination correlated with temperature-based environmental conditions during seed development in conifers."" Seed Science Research 25(01): 29-45."
Incubator,,,Petri,11.5 cm,Filter paper,"Liu, Y., et al. (2012). ""Influence of pericarp, cotyledon and inhibitory substances on sharp tooth oak (Quercus aliena var. acuteserrata) germination."" Plos One 7(10): e47682."
Incubator,,,Box,4.5 x 4.5 x 1.5 cm,Filter paper,"Liu, Y., et al. (2013). ""The role of moist-chilling and thermo-priming on the germination characteristics of white spruce (Picea glauca) seed."" Seed Science and Technology 41(3): 321-335."
Incubator,,,Box,,Filter paper,"Liu, Y., et al. (2015). ""Changes in hormone flux and signaling in white spruce (Picea glauca) seeds during the transition from dormancy to germination in response to temperature cues."" BMC Plant Biol 15: 292."
Incubator,,,Petri,11.5 cm,Filter paper,"Liu, Y., et al. (2015). ""Effects of different mechanical treatments on Quercus variabilis, Q. wutaishanica and Q. robur acorn germination."" iForest - Biogeosciences and Forestry 8(6): 728-734."
Incubator,,,Petri,,Filter paper,"Lonati, M., et al. (2010). ""Thermal time requirements for germination, emergence and seedling development of adventive legume and grass species."" New Zealand Journal of Agricultural Research 52(1): 17-29."
Incubator,,,Petri,,Filter paper,"Ludewig, K., et al. (2014). ""Differential effects of reduced water potential on the germination of floodplain grassland species indicative of wet and dry habitats."" Seed Science Research 24(01): 49-61."
Incubator,,,Petri,5.5 cm,Filter paper,"Luna, B. and J. M. Moreno (2008). ""Light and nitrate effects on seed germination of Mediterranean plant species of several functional groups."" Plant Ecology 203(1): 123-135."
Incubator,,,Petri,9 cm,Filter paper,"Luo, J. and J. Cardina (2012). ""Germination patterns and implications for invasiveness in three Taraxacum (Asteraceae) species."" Weed Research 52(2): 112-121."
Incubator,,,Petri,40 x 30 x 10 cm,Sand,"Ma, Q. Y., et al. (2016). ""Seed viability tests for Acer pictum and A. rubrum."" European Journal of Horticultural Science 81(1): 44-48."
Incubator,,,Box,11.2 x 11.2 x 3.6 cm,Filter paper,"Ma, Y. L., et al. (2003). ""Effect of solid matrix priming during moist chilling on dormancy breakage and germination of seeds of four fir species."" New Forests 25(1): 49-66."
Incubator,1% sodium hypochlorite solution for 2 min,,Petri,5 cm,Filter paper,"Mancilla-Leytón, J. M., et al. (2013). ""Effects of rabbit gut passage on seed retrieval and germination of three shrub species."" Basic and Applied Ecology 14(7): 585-592."
Incubator,,,Box,1200 cc,Filter paper,"Marchiol, L., et al. (2000). ""Germination and Initial Root Growth of Four Legumes as Affected by Landfill Biogas Atmosphere."" Restoration Ecology 8(1): 93-98."
Incubator,,,Petri,,Filter paper,"Måren, I. E., et al. (2009). ""Prescribed burning of northern heathlands: Calluna vulgaris germination cues and seed-bank dynamics."" Plant Ecology 207(2): 245-256."
Incubator,,,Petri,9 cm,Sand,"Mariko, S. K., Hiroshi; Suzuki, Jun-ichirou; Furukawa, Akio (1993). ""Altitudinal variations in germination and growth responses of Reynoutria japonica;  populations on Mt Fuji to a controlled thermal environment."" Ecological Research 8(1): 27-34."
Incubator,,,Petri,,Agar,"Marin, M., et al. (2018). ""Responses of Primula vulgaris to light quality in the maternal and germination environments."" Plant Biol (Stuttg)."
Incubator,,,Petri,6 cm,Filter paper,"Maroder, H. (2000). ""Storage Behaviour of Salix alba and Salix matsudana Seeds."" Annals of Botany 86(5): 1017-1021."
Incubator,,,Box,,Filter paper,"Marshall, J., et al. (2000). ""The effects of paclobutrazol, abscisic acid, and gibberellin on germination and early growth in silver, red, and hybrid maple."" Canadian Journal of Forest Research 30(4): 557-565."
Incubator,,,Pot,20 cm,Soil,"Martin, R. M. (2017). ""Effects of Warming on Invasive Phragmites australis and Native Spartina patens Seed Germination Rates and Implications for Response to Climate Change."" Northeastern Naturalist 24(3): 235-238."
Incubator,,,Pot,,"Peat, vermiculite and sand 1:1:1","Martín-García, J., et al. (2015). ""Influence of temperature on germination ofQuercus ilexinPhytophthora cinnamomi,P. gonapodyides, P. quercinaandP. psychrophilainfested soils."" Forest Pathology 45(3): 215-223."
Incubator,,,Petri,,Filter paper,"Masaka, K. and K. Yamada (2017). ""Variation in germination character of Robinia pseudoacacia L. (Leguminosae) seeds at individual tree level."" Journal of Forest Research 14(3): 167-177."
Incubator,,,Petri,9 cm,Filter paper,"Masin, R., et al. (2017). ""Can alternating temperatures be used to estimate base temperature for seed germination?"" Weed Research 57(6): 390-398."
Incubator,,,Petri,,Filter paper,"Masselink, A. K. (1980). ""Germination and Seed Population Dynamics in Melampyrum Pratense L."" Acta Botanica Neerlandica 29(5-6): 451-468."
Incubator,,,Petri,12 cm,,"Mataruga, M., et al. (2010). ""Dynamics of seed imbibition and germination of Austrian pine (Pinus nigra Arnold) from extreme habitat conditions within five Balkan provenances."" New Forests 40(2): 229-242."
Incubator,,,Bag,,Peat and grit 1:1,"McCartan, S. A., et al. (2015). ""Using thermal time models to predict the impact of assisted migration on the synchronization of germination and shoot emergence of oak (Quercus robur L.)."" Annals of Forest Science 72(4): 479-487."
Incubator,,,Box,,Filter paper,"McCartan, S. A., et al. (2017). ""Secondary dormancy imposition in pre-chilled, dried seeds of Douglas fir (Pseudotsuga menziesii) during storage."" Seed Science and Technology 45(2): 296-305."
Incubator,,,Petri,9 cm,Filter paper,"McDonough, W. T. H., R. O. (1974). ""Effects of Temperature on Germination in Three Subspecies of Big Sagebrush."" Journal of Range Management 27(3): 204-205."
Incubator,,,Petri,5 cm,Sand,"McGinnis, E. E. and M. H. Meyer (2011). ""After-ripening, Stratification, and Perigynia Removal Enhance Pennsylvania Sedge Germination."" Horttechnology 21(2): 187-192."
Incubator,,,Petri,9 cm,Filter paper,"McKee, J. (1998). ""The Effect of Temperature on Reproduction in FivePrimulaSpecies."" Annals of Botany 82(3): 359-374."
Incubator,,,Petri,9 cm,Filter paper,"McKersie, B. D., et al. (1981). ""EFFECT OF SEED SIZE ON GERMINATION, SEEDLING VIGOR, ELECTROLYTE LEAKAGE, AND ESTABLISHMENT OF BIRD’S-FOOT TREFOIL (Lotus corniculatus L.)."" Canadian Journal of Plant Science 61(2): 337-343."
Incubator,,,Petri,9 cm,Filter paper,"Mennan, H. (2003). ""The Effects of Depth and Duration of Burial on Seasonal Germination, Dormancy and Viability of Galium aparine and Bifora radians Seeds."" Journal of Agronomy and Crop Science 189(5): 304-309."
Incubator,,,Petri,9 cm,Filter paper,"Mennan, H. and M. Ngouajio (2017). ""Seasonal cycles in germination and seedling emergence of summer and winter populations of catchweed bedstraw (Galium aparine) and wild mustard (Brassica kaber)."" Weed Science 54(01): 114-120."
Incubator,,,Petri,9 cm,Sand,"Merou, T., et al. (2012). ""Effect of stratification and scarification treatments on the germination of oriental hornbeam (Carpinus orientalis) seeds."" Seed Science and Technology 40(2): 265-270."
Incubator,,,Petri,,,"Mesléard, F. and J. Lepart (1991). ""Germination and seedling dynamics ofArbutus unedoandErica arbóreaon Corsica."" Journal of Vegetation Science 2(2): 155-164."
Incubator,,,Petri,10 cm,Filter paper,"Meyer, S. (2000). ""Genetic Regulation of Seed Dormancy in Purshia tridentata(Rosaceae)."" Annals of Botany 85(4): 521-529."
Incubator,,,Petri,10 cm,Filter paper,"Meyer, S. E. (1989). ""WARM PRETREATMENT EFFECTS ON ANTELOPE BITTERBRUSH (PURSHIA-TRIDENTATA) GERMINATION RESPONSE TO CHILLING."" Northwest Science 63(4): 146-153."
Incubator,,,Petri,10 cm,Filter paper,"Meyer, S. E. A., Phil S.; Beckstead, Julie (1997). ""Seed Germination Regulation in Bromus tectorum (Poaceae) and Its Ecological Significance."" Oikos 78(3): 475-485."
Incubator,,,Petri,,Filter paper,"Meyer, S. E. M., Stephen B.; McArthur, E. Durant (1990). ""Germination Response of Artemisia tridentata (Asteraceae) to Light and Chill: Patterns of Between-Population Variation."" Botanical Gazette 151(2): 176-183."
Incubator,,,Box,,Peat and sand 1:1,"Michalak, M., et al. (2013). ""Desiccation sensitivity and successful cryopreservation of oil seeds of European hazelnut (Corylus avellana)."" Annals of Applied Biology 163(3): n/a-n/a."
Incubator,,,Box,,Filter paper,"Midmore, E. K., et al. (2015). ""Using thermal time models to predict germination of five provenances of silver birch (Betula pendula Roth) in southern England."" Silva Fennica 49(2)."
Incubator,,,,,,"Milberg, P. (1994). ""Germination ecology of the polycarpic grassland perennials Primula veris and Trollius europaeus."" Ecography 17(1): 3-8."
Incubator,,,Petri,,Filter paper,"Milberg, P. A., Lars (1997). ""Seasonal variation in dormancy and light sensitivity in buried seeds of eight annual weed species."" Canadian Journal of Botany 75(11): 1998-2004."
,,,Petri,,Filter paper,"Mitchell, E. (1926). ""Germination of Seeds of Plants Native to Dutchess County, New York."" Botanical Gazette 81(1): 108-112."
Incubator,,,Petri,,Filter paper,"Moldoveanu, C., et al. (2015). ""Biological Effects of Some New Imidazole Derivatives on Spruce (Picea Abies) Germination."" Revista De Chimie 66(1): 104-108."
Incubator,,,Petri,10 cm,,"Molina-Montenegro, M. A., et al. (2018). ""Is the Success of Plant Invasions the Result of Rapid Adaptive Evolution in Seed Traits? Evidence from a Latitudinal Rainfall Gradient."" Front Plant Sci 9: 208."
Incubator,,,Box,11 x 11 x 3.5 cm,Filter paper,"Mollard, F. P. and M. A. Naeth (2015). ""Germination sensitivities to water potential among co-existing C3 and C4 grasses of cool semi-arid prairie grasslands."" Plant Biol (Stuttg) 17(2): 583-587."
Incubator,,,Box,11 x 11 x 4 cm,Filter paper,"Monaco, T. A., et al. (2003). ""Nitrogen Effects on Seed Germination and Seedling Growth."" Journal of Range Management 56(6): 646-653."
Incubator,,,Petri,,Agar,"Mondoni, A., et al. (2008). ""Habitat-correlated seed germination behaviour in populations of wood anemone (Anemone nemorosa L.) from northern Italy."" Seed Science Research 18(4): 213-222."
Incubator,,,Box,,Filter paper,"Mortensen, L. C. E., E. N. (2004). ""The effect of gibberellic acid, paclobutrazol and ethephon on the germination of Fagus sylvatica and Picea sitchensis seeds exposed to varying durations of moist chilling."" Seed Science and Technology 32(1): 21-33."
Incubator,,,Box,8 × 17 × 5 cm,Filter paper,"Mortensen, L. C., et al. (2007). ""Decline in a seed-specific abscisic acid-responsive glycine-rich protein (GRPF1) mRNA may reflect the release of seed dormancy in Fagus sylvatica during moist prechilling."" Seed Science Research 14(01): 27-34."
Incubator,,,Petri,14 cm,Filter paper,"Muller, C. and M. Bonnet-Masimbert (1983). ""Amélioration de la germination des faînes (Fagus silvatica) par prétraitement en présence de polyéthylène glycol."" Annales Des Sciences Forestieres 40(2): 157-164."
Incubator,,,,,Vermiculite,"Muller, C. and M. Bonnet-Masimbert (1985). ""Levée de dormance des faînes avant leur conservation : résultats préliminaires."" Annales Des Sciences Forestieres 42(4): 385-396."
Incubator,,,,,Filter paper,"Muller, C. F., E.; Laroppe, E.; Bonnet-Masimbert, M. (1999). ""Drying and storage of prechilled Douglas fir, Pseudotsuga menziesii, seeds."" Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere 29(2): 172-177."
Incubator,,,Petri,,Soil,"Myerscough, P. J. and F. H. Whitehead (1966). ""Comparative Biology of Tussilago Farfara L., Chamafnerion Angustifolium (L.) Scop., Epilobium Montanum L. And Fpilobium Adfnocaulon Hausskn.. I. General Biology and Germination."" New Phytologist 65(2): 192-210."
Incubator,,,Petri,,Filter paper,"Naghipour, A. A., et al. (2016). ""Effects of smoke, ash and heat shock on seed germination of seven species from Central Zagros rangelands in the semi-arid region of Iran."" African Journal of Range & Forage Science 33(1): 67-71."
Incubator,,,Petri,,,"Nesme, X. (1985). ""RESPECTIVE EFFECTS OF ENDOCARP, TESTA AND ENDOSPERM, AND EMBRYO ON THE GERMINATION OF RASPBERRY (Rubus idaeus L.) SEEDS."" Canadian Journal of Plant Science 65(1): 125-130."
Incubator,,,Well,1 cm,Agar,"Newton, R. J., et al. (2013). ""Seed development and maturation in early spring-flowering Galanthus nivalis and Narcissus pseudonarcissus continues post-shedding with little evidence of maturation in planta."" Ann Bot 111(5): 945-955."
Incubator,,,Petri,9 cm,Filter paper,"Nie, G., et al. (2017). ""Effect of moist pre-chill and dry pre-heat treatment on the germination of Miscanthus sinensis  seed from southwest China."" Grassland Science 63(2): 93-100."
Greenhouse,,,Pot,,Soil,"Nielsen, J. A., et al. (2015). ""Germination and growth responses of co-occurring grass species to soil from under invasive Thymus vulgaris."" Allelopathy Journal 35(1): 139-152."
Incubator,0.1% solution of Benlate (DuPont Agriculture Products) for 6 h,,Pot,5 x 5 x 5 cm,Soil,"Niimi, Y., et al. (2006). ""Temperatures affecting embryo development and seed germination of Christmas rose (Helleborus niger) after sowing."" Scientia Horticulturae 107(3): 292-296."
Incubator,,,Tray,,Soil,"Nijjer, S., et al. (2002). ""Effects of temperature and light on Chinese tallow (Sapium sebiferum and Texas sugarberry (Celtis laevigata) seed germination."" Texas Journal of Science 54(1): 63-68."
Incubator,Nistatin at a concentration of 500 mg L-1,,Petri,6 cm,Water,"Nikolic, R., et al. (2007). ""Cytokinins and urea derivatives stimulate seed germination in Lotus corniculatus L."" Archives of Biological Sciences 59(2): 125-128."
Incubator,,,Petri,9 cm,Filter paper,"Nin, S., et al. (2017). ""Effects of environmental factors on seed germination and seedling establishment in bilberry ( Vaccinium myrtillus L.)."" Scientia Horticulturae 226: 241-249."
Incubator,,,Petri,9 cm,Filter paper,"Nishitani, S. M., Takehiro (1996). ""Germination Characteristics of Two Species of Polygonum in Relation to Their Altitudinal Distribution on Mt. Fuji, Japan."" Arctic and Alpine Research 28(1): 104-110."
Incubator,,,Petri,9 cm,Agar,"Nomiya, H. (2017). ""Differentiation of seed germination traits in relation to the natural habitats of three Ulmus species in Japan."" Journal of Forest Research 15(2): 123-130."
Incubator,,,Petri,9 cm,Filter paper,"Noronha, A. (1997). ""Rate of Change in Dormancy Level and Light Requirement in Weed Seeds During Stratification."" Annals of Botany 80(6): 795-801."
